interaction_type,outcome_category,from,to,bidirectional,context_dependent,summary,references,mediator_node,positive_or_negative,direct_or_indirect
Competition,Spatial conflicts,ship,fish,TRUE,FALSE,Shipping lanes overlap fishing grounds and gear zones,Halpern 2008,None,Diminishment,Direct
Displacement,Operations diminishment,wind,ship,FALSE,TRUE,Turbine arrays can reroute shipping lanes and increase transit time,Schupp 2021,None,Diminishment,Direct
Habitat pressure,Natural Capital diminishment,ship,eco,FALSE,FALSE,Anchoring and vessel traffic can degrade sensitive habitats,Halpern 2008,None,Diminishment,Direct
Effluent loading,Natural Capital diminishment,aqua,eco,FALSE,TRUE,Nutrient release from aquaculture can stress local ecosystems,Troell 2014,Water exchange,Mixed,Indirect
Gear competition,Operations diminishment,aqua,fish,TRUE,TRUE,Competition for coastal space can reduce access for fishers,Crona 2022,None,Diminishment,Direct
Spillover support,Operations enhancement,mpa,fish,FALSE,TRUE,Protection zones can improve nearby catch stability,Lester 2009,Enforcement,Enhancement,Indirect
Amenity gain,Touristic Value enhancement,mpa,tou,FALSE,TRUE,Biodiversity recovery can increase dive and wildlife tourism,Sala 2013,Biodiversity recovery,Enhancement,Indirect
Site competition,Spatial conflicts,wind,fish,FALSE,TRUE,Wind farm siting can overlap traditional fishing grounds,Kafas 2022,None,Diminishment,Direct
Routing conflict,Spatial conflicts,wind,ship,FALSE,FALSE,Navigation corridors can conflict with fixed turbine infrastructure,Said 2017,None,Diminishment,Direct
Artificial reef effect,Natural Capital enhancement,wind,eco,FALSE,TRUE,Turbine foundations can create hard substrate habitat,Degraer 2020,Habitat creation,Enhancement,Indirect
Site competition,Spatial conflicts,wave,ship,FALSE,FALSE,Wave installations can compete with vessel routes,Duarte 2017,None,Diminishment,Direct
Joint planning,Spatial synergies,ren,ship,TRUE,TRUE,Shared planning can reduce congestion in multiuse sea areas,Ehler 2019,Marine spatial planning,Enhancement,Indirect
Pollution risk,Natural Capital diminishment,dril,eco,FALSE,FALSE,Oil and gas activities can increase contamination risk,Beyer 2020,None,Diminishment,Direct
Water quality pathway,Operations diminishment,dril,fish,FALSE,TRUE,Contaminants can reduce stock quality and fishing output,Beyer 2020,Pollution pathway,Diminishment,Indirect
Seabed removal,Natural Capital diminishment,agg,eco,FALSE,FALSE,Aggregate extraction removes benthic substrate and fauna,Miller 2018,None,Diminishment,Direct
