edge_id,from,to,interaction_type,country,theme,effect,direct_or_indirect,bidirectional,context_dependent,interaction_summary,policy_tension,evidence_level,reference,amr_driver,challenge,distalness,type2,source
P001,amr01,amr04,AMR-SDG,Rwanda,Agriculture & Food Systems,Align,Direct,FALSE,TRUE,Stricter farm infection prevention requirements can raise near term production costs and affect small producer competitiveness,Prevention standards versus growth targets,High,NAP Country XXX 2025,doctor knowledge & attitude,Conservation,0.54807423,Proximal,Implementation
P002,amr01,amr04,AMR-SDG,Rwanda,Agriculture & Food Systems,Align,Indirect,FALSE,TRUE,Food production expansion can increase pressure for routine antimicrobial use if stewardship controls are weak,Food security expansion versus antimicrobial optimization,High,NAP Country XXX 2025,doctor knowledge & attitude,Conservation,0.54807423,Proximal,Objective
P003,amr03,sdg01,AMR-SDG,Rwanda,Human Health Systems,Align,Direct,FALSE,FALSE,Improved prescribing and dispensing practices support better treatment outcomes and patient safety,Stewardship investment versus service throughput pressure,High,NAP Country XXX 2025,governance capacity,Multiple challenges,0.905214996,Distal,Implementation
P004,amr03,sdg01,AMR-SDG,Rwanda,Governance & Financing,Align,Indirect,FALSE,TRUE,Integrated surveillance requires partnerships across ministries laboratories and sectors,Coordination burden versus shared evidence value,High,NAP Country XXX 2025,governance capacity,Multiple challenges,0.905214996,Distal,Objective
P005,amr03,sdg16,AMR-SDG,Rwanda,Environment & Climate Action,Align,Direct,FALSE,FALSE,WASH improvements reduce infection incidence and therefore demand for antimicrobials,Infrastructure financing versus long term prevention gains,Medium,NAP Country XXX 2025,governance capacity,Multiple challenges,0.905214996,Distal,Implementation
P006,amr03,sdg16,AMR-SDG,Rwanda,Governance & Financing,Align,Indirect,FALSE,TRUE,Targeted AMR investment can catalyze diagnostics and innovation infrastructure,Public investment versus short term fiscal limits,High,NAP Country XXX 2025,governance capacity,Multiple challenges,0.905214996,Distal,Objective
P007,amr03,sdg17,AMR-SDG,Rwanda,Governance & Financing,Align,Indirect,FALSE,TRUE,Shifting budgets to AMR systems may reduce short term spending available for broad growth initiatives,AMR financing priorities versus immediate growth spending,Medium,NAP Country XXX 2025,governance capacity,Multiple challenges,0.905214996,Distal,Implementation
P008,amr03,sdg17,AMR-SDG,Rwanda,Agriculture & Food Systems,Align,Indirect,FALSE,TRUE,Responsible production standards can reinforce prudent antimicrobial use across value chains,Compliance costs versus market credibility benefits,High,NAP Country XXX 2025,governance capacity,Multiple challenges,0.905214996,Distal,Objective
P009,sdg01,sdg16,AMR-SDG,Rwanda,Social Equity & Education,Align,Direct,FALSE,FALSE,AMR awareness campaigns strengthen professional and public education outcomes,Training delivery load versus behavior change impact,High,NAP Country XXX 2025,governance capacity,Multiple challenges,0.905214996,Distal,Implementation
P010,sdg01,sdg16,AMR-SDG,Rwanda,Social Equity & Education,Align,Indirect,FALSE,TRUE,Poverty reduction can improve access to quality care but may also increase antimicrobial demand without stewardship,Access expansion versus use control,High,NAP Country XXX 2025,governance capacity,Multiple challenges,0.905214996,Distal,Objective
P011,sdg01,sdg17,AMR-AMR,Rwanda,Human Health Systems,Align,Direct,FALSE,FALSE,Awareness and training support better adherence to stewardship protocols,Training coverage versus implementation consistency,High,NAP Country XXX 2025,governance capacity,Multiple challenges,0.905214996,Distal,Implementation
P012,sdg01,sdg17,AMR-AMR,Rwanda,Human Health Systems,Align,Direct,FALSE,FALSE,Surveillance intelligence improves targeting of antimicrobial optimization actions,Data quality requirements versus rapid decision timelines,High,NAP Country XXX 2025,governance capacity,Multiple challenges,0.905214996,Distal,Objective
P013,sdg16,sdg17,AMR-AMR,Rwanda,Governance & Financing,Align,Indirect,FALSE,TRUE,Sustainable financing enables laboratory capacity and longitudinal surveillance systems,Capital allocation versus competing priorities,Medium,NAP Country XXX 2025,governance capacity,Multiple challenges,0.905214996,Distal,Implementation
P014,sdg16,sdg17,AMR-AMR,Rwanda,Agriculture & Food Systems,Align,Indirect,TRUE,TRUE,Restrictive antimicrobial use policies can support prevention but may create operational gaps if biosecurity is under-resourced,Stewardship pace versus prevention readiness,High,NAP Country XXX 2025,governance capacity,Multiple challenges,0.905214996,Distal,Objective
P015,sdg13,sdg16,AMR-AMR,Rwanda,Human Health Systems,Align,Indirect,FALSE,TRUE,Reduced infection incidence lowers avoidable antimicrobial use and supports optimization objectives,Prevention investment versus immediate service demands,High,NAP Country XXX 2025,humanitarian crisis,Multiple challenges,0.725268362,Distal,Implementation
P016,sdg13,sdg16,SDG-SDG,Rwanda,Agriculture & Food Systems,Align,Indirect,TRUE,TRUE,High output food policies may conflict with responsible production constraints in the short term,Scale of production versus sustainability standards,High,NAP cross-reference report 2025,humanitarian crisis,Multiple challenges,0.725268362,Distal,Objective
P017,sdg01,sdg04,SDG-SDG,Rwanda,Environment & Climate Action,Align,Indirect,TRUE,TRUE,Industrial growth pathways may increase emissions unless mitigated by transition policies,Growth speed versus climate commitments,High,NAP cross-reference report 2025,individual socio-demographic factors,Multiple challenges,0.81621562,Distal,Implementation
P018,sdg01,sdg04,SDG-SDG,Rwanda,Human Health Systems,Align,Direct,FALSE,FALSE,Water and sanitation investments directly improve public health outcomes,Infrastructure lag versus immediate health needs,High,NAP cross-reference report 2025,individual socio-demographic factors,Multiple challenges,0.81621562,Distal,Objective
P019,sdg01,sdg08,SDG-SDG,Rwanda,Social Equity & Education,Align,Indirect,FALSE,TRUE,Health literacy supports prevention treatment adherence and better health outcomes,Education coverage versus near term outcomes,High,NAP cross-reference report 2025,individual socio-demographic factors,Multiple challenges,0.81621562,Distal,Implementation
P020,sdg01,sdg08,SDG-SDG,Rwanda,Governance & Financing,Align,Indirect,TRUE,TRUE,Industrial modernization can increase resource efficiency but may raise transition costs for smaller firms,Innovation pace versus compliance affordability,High,NAP cross-reference report 2025,individual socio-demographic factors,Multiple challenges,0.81621562,Distal,Objective
P021,sdg01,sdg10,AMR-SDG,Rwanda,Agriculture & Food Systems,Align,Indirect,FALSE,TRUE,Stronger restrictions on veterinary antimicrobial use may affect short term livestock productivity,Stewardship enforcement versus immediate food output,Medium,Kenya NAP 2024,individual socio-demographic factors,Multiple challenges,0.81621562,Distal,Implementation
P022,sdg01,sdg10,AMR-SDG,Rwanda,Environment & Climate Action,Align,Direct,FALSE,FALSE,Expanded sanitation and safe water improve infection prevention outcomes,WASH investment versus budget constraints,High,Kenya NAP 2024,individual socio-demographic factors,Multiple challenges,0.81621562,Distal,Objective
P023,sdg04,sdg08,AMR-SDG,Rwanda,Human Health Systems,Align,Direct,FALSE,FALSE,IPC and prevention programs reduce burden on health services and improve population health,Prevention staffing versus service load,High,Kenya NAP 2024,individual socio-demographic factors,Multiple challenges,0.81621562,Distal,Implementation
P024,sdg04,sdg08,AMR-AMR,Rwanda,Governance & Financing,Align,Indirect,FALSE,TRUE,Better surveillance evidence supports stronger investment cases for AMR programs,Data quality versus investment confidence,High,Kenya NAP 2024,individual socio-demographic factors,Multiple challenges,0.81621562,Distal,Objective
P025,sdg04,sdg10,SDG-SDG,Rwanda,Environment & Climate Action,Align,Indirect,TRUE,TRUE,Rapid urban economic growth can outpace sanitation infrastructure expansion,Growth concentration versus infrastructure capacity,High,Kenya NAP 2024,individual socio-demographic factors,Multiple challenges,0.81621562,Distal,Implementation
P026,sdg04,sdg10,AMR-SDG,Rwanda,Governance & Financing,Align,Indirect,FALSE,TRUE,Partnership mechanisms improve data sharing and multisector AMR monitoring,Coordination overhead versus system coherence,High,Kenya NAP 2024,individual socio-demographic factors,Multiple challenges,0.81621562,Distal,Objective
P027,sdg08,sdg10,SDG-SDG,Rwanda,Environment & Climate Action,Align,Indirect,FALSE,TRUE,Responsible production measures support reduced marine contamination pressure,Compliance costs versus marine ecosystem gains,High,Kenya NAP 2024,individual socio-demographic factors,Multiple challenges,0.81621562,Distal,Implementation
P028,sdg08,sdg10,AMR-AMR,Rwanda,Human Health Systems,Align,Direct,FALSE,FALSE,Stewardship initiatives generate practical awareness among clinicians and pharmacists,Training time versus clinical workload,High,Kenya NAP 2024,individual socio-demographic factors,Multiple challenges,0.81621562,Distal,Objective
P029,sdg09,sdg10,AMR-SDG,Rwanda,Social Equity & Education,Align,Indirect,FALSE,TRUE,Equity focused service design improves access to regulated care and reduces unsafe antimicrobial pathways,Coverage priorities versus implementation costs,High,Kenya NAP 2024,individual socio-demographic factors,Multiple challenges,0.81621562,Distal,Implementation
P030,sdg09,sdg10,SDG-SDG,Rwanda,Social Equity & Education,Align,Indirect,FALSE,TRUE,Better population health reduces catastrophic expenditure and supports poverty reduction,Short term health spending versus social returns,High,Kenya NAP 2024,individual socio-demographic factors,Multiple challenges,0.81621562,Distal,Objective
P031,amr03,sdg03,AMR-SDG,Rwanda,Agriculture & Food Systems,Align,Indirect,FALSE,TRUE,Export competitiveness goals can conflict with stricter antimicrobial use controls in aquaculture systems,Market pressure versus stewardship compliance,High,Vietnam NAP 2023,infection/colonization by resistant bacteria in human,Containment,0.320203936,Proximal,Implementation
P032,amr03,sdg03,AMR-SDG,Rwanda,Agriculture & Food Systems,Align,Indirect,FALSE,TRUE,Responsible production certification can support reduced antimicrobial misuse in value chains,Audit burden versus long term market gains,High,Vietnam NAP 2023,infection/colonization by resistant bacteria in human,Containment,0.320203936,Proximal,Objective
