country,amr_driver,policy_agenda_1,policy_agenda_2,policy_strategic_objective_1,policy_strategic_objective_2,policy_specific_actions_1,policy_specific_actions_2,evaluation_round,objective_interaction,objective_interpretation,implementation_interaction,implementation_interpretation
Ethiopia,close human-animal interface & wildlife-associated transmission,AMR-03,SDG-15,Strengthen infection prevention and control practices in public and veterinary health facilities,"The main focus area of the environment and climate change plan is ensuring sustainable development by developing, enriching, maintaining and protecting the country’s natural environment, forests, wild life and other biodiversity resources, and also through ensuring sustainable utilization as well as maintenance of healthy ecosystem interactions. ","Assess prevalence and risk factors of zoonotic diseases
Develop integrated zoonotic disease prevention and control action plan
Integrate zoonotic disease prevention through the One Health approach at region and facility levels ","Implement policies to protect wildlife and biodiversity (increase the number of enriched wild life and biodiversity species, increase national forest coverage from 15.5% to 30%, and increase the coverage of wild life habitats, increase the coverage of protection against illicit activities in wild life habitats  ",1,Align,"Both policies aim to reduce risks at the human-animal-wildlife interface by strengthening zoonotic disease prevention (Policy AMR-03) and protecting wildlife habitats and biodiversity (Policy SDG-15), jointly reducing wildlife-associated transmission.",Mutual benefit,"Implementing wildlife protection and habitat restoration reduces human–wildlife contact, facilitating integrated One Health disease prevention plans, while strengthened zoonotic surveillance and control bolster ecosystem health efforts, creating positive feedback."
Ethiopia,close human-animal interface & wildlife-associated transmission,AMR-03,SDG-15,Strengthen infection prevention and control practices in public and veterinary health facilities,"The main focus area of the environment and climate change plan is ensuring sustainable development by developing, enriching, maintaining and protecting the country’s natural environment, forests, wild life and other biodiversity resources, and also through ensuring sustainable utilization as well as maintenance of healthy ecosystem interactions. ","Assess prevalence and risk factors of zoonotic diseases
Develop integrated zoonotic disease prevention and control action plan
Integrate zoonotic disease prevention through the One Health approach at region and facility levels ","Implement policies to protect wildlife and biodiversity (increase the number of enriched wild life and biodiversity species, increase national forest coverage from 15.5% to 30%, and increase the coverage of wild life habitats, increase the coverage of protection against illicit activities in wild life habitats  ",2,Align,"Both policies aim to reduce zoonotic spillover by strengthening disease prevention at the human-animal interface: AMR-03 focuses on infection prevention and control in human and veterinary health facilities, while SDG-15 conserves and protects wildlife and ecosystems to minimize risky human–wildlife interactions. Together they push the shared driver in the same direction, yielding cumulative benefits.",Mutual benefit,"Protecting biodiversity and wildlife habitats under SDG-15 reduces opportunities for zoonotic transmission, directly supporting the integrated One Health action plans and risk assessments of AMR-03. At the same time, AMR-03’s coordinated zoonotic disease surveillance and action planning strengthen cross-sectoral collaboration and data sharing that aid effective implementation of wildlife protection measures."
Ethiopia,close human-animal interface & wildlife-associated transmission,AMR-03,SDG-15,Strengthen infection prevention and control practices in public and veterinary health facilities,"The main focus area of the environment and climate change plan is ensuring sustainable development by developing, enriching, maintaining and protecting the country’s natural environment, forests, wild life and other biodiversity resources, and also through ensuring sustainable utilization as well as maintenance of healthy ecosystem interactions. ","Assess prevalence and risk factors of zoonotic diseases
Develop integrated zoonotic disease prevention and control action plan
Integrate zoonotic disease prevention through the One Health approach at region and facility levels ","Implement policies to protect wildlife and biodiversity (increase the number of enriched wild life and biodiversity species, increase national forest coverage from 15.5% to 30%, and increase the coverage of wild life habitats, increase the coverage of protection against illicit activities in wild life habitats  ",3,Align,"Both policies aim to reduce the risk of zoonotic spillover at the human–animal–wildlife interface: AMR-03 focuses on bolstering infection prevention and control in public and veterinary settings, while SDG-15 seeks to maintain and protect healthy wildlife populations and ecosystems. Together they push the shared driver in the same direction, cumulatively lowering opportunities for wildlife-associated transmission of resistant pathogens.",Mutual benefit,"Strengthening infection prevention through One Health action plans benefits from intact, well-protected wildlife habitats (fewer human–wildlife contact points), while expanded forest and biodiversity protections reduce spillover that would otherwise increase demands on health-facility IPC measures. Each policy’s implementation thus eases and reinforces the other’s success."
Ethiopia,close human-animal interface & wildlife-associated transmission,AMR-03,SDG-15,Strengthen infection prevention and control practices in public and veterinary health facilities,"The main focus area of the environment and climate change plan is ensuring sustainable development by developing, enriching, maintaining and protecting the country’s natural environment, forests, wild life and other biodiversity resources, and also through ensuring sustainable utilization as well as maintenance of healthy ecosystem interactions. ","Assess prevalence and risk factors of zoonotic diseases
Develop integrated zoonotic disease prevention and control action plan
Integrate zoonotic disease prevention through the One Health approach at region and facility levels ","Implement policies to protect wildlife and biodiversity (increase the number of enriched wild life and biodiversity species, increase national forest coverage from 15.5% to 30%, and increase the coverage of wild life habitats, increase the coverage of protection against illicit activities in wild life habitats  ",4,Align,"Both policies work to reduce zoonotic spillover by addressing the human–animal interface and wildlife transmission pathways. AMR-03 strengthens infection prevention and One Health measures in health and veterinary facilities to limit zoonotic disease spread, while SDG-15 protects and maintains healthy wildlife ecosystems, thereby reducing risky human–wildlife contacts. Together they push the shared driver – close human-animal interface and wildlife-associated transmission – in the same direction.",Mutual benefit,"SDG-15’s expansion and protection of wildlife habitats limits opportunities for pathogen spillover into human and animal populations, easing the burden on AMR-03’s infection prevention and One Health surveillance plans. Conversely, AMR-03’s zoonotic disease assessments and integrated control plans generate data and risk maps that can guide targeted conservation and habitat protection under SDG-15, creating a reinforcing feedback loop."
Ethiopia,close human-animal interface & wildlife-associated transmission,AMR-03,SDG-15,Strengthen infection prevention and control practices in public and veterinary health facilities,"The main focus area of the environment and climate change plan is ensuring sustainable development by developing, enriching, maintaining and protecting the country’s natural environment, forests, wild life and other biodiversity resources, and also through ensuring sustainable utilization as well as maintenance of healthy ecosystem interactions. ","Assess prevalence and risk factors of zoonotic diseases
Develop integrated zoonotic disease prevention and control action plan
Integrate zoonotic disease prevention through the One Health approach at region and facility levels ","Implement policies to protect wildlife and biodiversity (increase the number of enriched wild life and biodiversity species, increase national forest coverage from 15.5% to 30%, and increase the coverage of wild life habitats, increase the coverage of protection against illicit activities in wild life habitats  ",5,Align,"Both policies aim to reduce the close human–animal interface and wildlife-associated transmission: AMR-03 by strengthening infection prevention and control in human and veterinary health facilities and SDG-15 by conserving and maintaining wildlife habitats and ecosystems. Together they push the shared driver in the same direction, producing cumulative benefits.",Mutual benefit,"Implementing integrated zoonotic disease prevention and control plans under One Health is facilitated by protected and well-managed wildlife habitats (reducing spillover), while robust infection surveillance and control frameworks strengthen monitoring and enforcement of biodiversity conservation measures, creating a positive feedback loop."
Ethiopia,discharge of waste from anthropogenic activities,AMR-01,AMR-03,"Improve awareness on the risk of leftover antimicrobials, pesticides, insecticides and heavy metal contaminants in the environment","Promote, implement and enforce proper waste management at the community level","Implemented policy framework and guidelines on safe disposal of antimicrobials, pesticides, insecticides and heavy metals at the community level 

Develop and disseminate awareness-raising materials on environmental waste management for farmers, human and animal health facilities, farms and food handlers

Organize sensitization workshops to improve adherence to proper disposal of unfit-for-use antimicrobials from farms, human and animal health facilities and other hazardous wastes","Promote and enforce safe human excreta disposal and functional improved latrines in communities

Promote and enforce hazardous waste management in health facilities",1,Align,"Both policies target the discharge of waste from anthropogenic activities and push the driver in the same direction: Policy 1 raises awareness about risks and proper disposal of antimicrobials, pesticides, insecticides and heavy metals, while Policy 2 promotes and enforces proper waste management practices at the community and facility levels, jointly reducing environmental contamination.",One-sided benefit,"Policy 1’s awareness‐raising materials and guidelines facilitate community buy‐in and adherence to Policy 2’s enforcement measures (safe excreta disposal, improved latrines and hazardous waste management), making Policy 2 easier to implement, while Policy 2’s enforcement does not directly enhance the rollout of Policy 1’s awareness activities."
Ethiopia,discharge of waste from anthropogenic activities,AMR-01,AMR-03,"Improve awareness on the risk of leftover antimicrobials, pesticides, insecticides and heavy metal contaminants in the environment","Promote, implement and enforce proper waste management at the community level","Implemented policy framework and guidelines on safe disposal of antimicrobials, pesticides, insecticides and heavy metals at the community level 

Develop and disseminate awareness-raising materials on environmental waste management for farmers, human and animal health facilities, farms and food handlers

Organize sensitization workshops to improve adherence to proper disposal of unfit-for-use antimicrobials from farms, human and animal health facilities and other hazardous wastes","Promote and enforce safe human excreta disposal and functional improved latrines in communities

Promote and enforce hazardous waste management in health facilities",2,Align,"Both policies target the discharge of waste from anthropogenic activities and seek to reduce environmental contamination by improving disposal practices and waste management, pushing the shared driver in the same direction.",One-sided benefit,"Policy 1’s awareness-raising activities and guidelines enhance community understanding and acceptance of the stricter waste management requirements under Policy 2, making the latter easier to implement, while Policy 2 does not notably facilitate Policy 1’s actions."
Ethiopia,discharge of waste from anthropogenic activities,AMR-01,AMR-03,"Improve awareness on the risk of leftover antimicrobials, pesticides, insecticides and heavy metal contaminants in the environment","Promote, implement and enforce proper waste management at the community level","Implemented policy framework and guidelines on safe disposal of antimicrobials, pesticides, insecticides and heavy metals at the community level 

Develop and disseminate awareness-raising materials on environmental waste management for farmers, human and animal health facilities, farms and food handlers

Organize sensitization workshops to improve adherence to proper disposal of unfit-for-use antimicrobials from farms, human and animal health facilities and other hazardous wastes","Promote and enforce safe human excreta disposal and functional improved latrines in communities

Promote and enforce hazardous waste management in health facilities",3,Align,"Both policies aim to reduce the discharge of antimicrobials and other hazardous waste into the environment at the community level, working towards the shared goal of minimizing pollution that drives AMR.",One-sided benefit,"Policy 1’s awareness campaigns and guidelines foster community understanding and buy-in, making it easier to implement and enforce the waste management measures under Policy 2, while Policy 2’s enforcement activities do not directly facilitate the rollout of Policy 1’s educational and disposal guidelines."
Ethiopia,discharge of waste from anthropogenic activities,AMR-01,AMR-03,"Improve awareness on the risk of leftover antimicrobials, pesticides, insecticides and heavy metal contaminants in the environment","Promote, implement and enforce proper waste management at the community level","Implemented policy framework and guidelines on safe disposal of antimicrobials, pesticides, insecticides and heavy metals at the community level 

Develop and disseminate awareness-raising materials on environmental waste management for farmers, human and animal health facilities, farms and food handlers

Organize sensitization workshops to improve adherence to proper disposal of unfit-for-use antimicrobials from farms, human and animal health facilities and other hazardous wastes","Promote and enforce safe human excreta disposal and functional improved latrines in communities

Promote and enforce hazardous waste management in health facilities",4,Align,"Both policies aim to reduce the discharge of hazardous wastes (including antimicrobials, pesticides, insecticides and other contaminants) from community, farm and health‐care settings. By raising awareness about the risks of leftover chemicals (Policy 1) and enforcing proper waste collection and disposal systems (Policy 2), they cumulatively drive down environmental contamination.",One-sided benefit,"Policy 1’s outreach, guidelines and workshops build the knowledge and social acceptance needed for communities and facilities to comply with Policy 2’s enforcement of latrines and hazardous‐waste protocols. However, Policy 2’s enforcement activities do not directly enhance the delivery of Policy 1’s awareness and education components."
Ethiopia,discharge of waste from anthropogenic activities,AMR-01,AMR-03,"Improve awareness on the risk of leftover antimicrobials, pesticides, insecticides and heavy metal contaminants in the environment","Promote, implement and enforce proper waste management at the community level","Implemented policy framework and guidelines on safe disposal of antimicrobials, pesticides, insecticides and heavy metals at the community level 

Develop and disseminate awareness-raising materials on environmental waste management for farmers, human and animal health facilities, farms and food handlers

Organize sensitization workshops to improve adherence to proper disposal of unfit-for-use antimicrobials from farms, human and animal health facilities and other hazardous wastes","Promote and enforce safe human excreta disposal and functional improved latrines in communities

Promote and enforce hazardous waste management in health facilities",5,Align,"Both policies seek to reduce the discharge of waste from anthropogenic activities by targeting improved disposal practices: Policy 1 through raising awareness of risks from leftover antimicrobials, pesticides and other contaminants, and Policy 2 through enforcing proper community and health‐facility waste management. They push the shared driver in the same direction, producing cumulative benefits.",One-sided benefit,"Policy 1’s guidelines, awareness materials and workshops build community and stakeholder buy-in for safe disposal behaviors, which in turn makes it easier to implement Policy 2’s enforcement of latrine use and hazardous waste management. Policy 2’s enforcement actions do not directly facilitate Policy 1’s awareness campaigns."
