edge_id,from,to,interaction_type,country,theme,source,effect,direct_or_indirect,bidirectional,interaction_summary,policy_tension,policy_strategic_objective_1,policy_strategic_objective_2,policy_specific_actions_1,policy_specific_actions_2,reference
P001,amr03,sdg15,AMR-SDG,Ethiopia,Agriculture & Food Systems,Objective,Align,Indirect,TRUE,Both policies work to reduce zoonotic spillover by addressing the human-animal interface and wildlife transmission pathways.,Biosecurity standards versus agricultural productivity,Strengthen infection prevention and control practices in public and veterinary health facilities,"The main focus area of the environment and climate change plan is ensuring sustainable development by developing, enriching, maintaining and protecting the country’s natural environment, forests, wild life and other biodiversity resources, and also through ensuring sustainable utilization as well as maintenance of healthy ecosystem interactions. ","Assess prevalence and risk factors of zoonotic diseases
Develop integrated zoonotic disease prevention and control action plan
Integrate zoonotic disease prevention through the One Health approach at region and facility levels ","Implement policies to protect wildlife and biodiversity (increase the number of enriched wild life and biodiversity species, increase national forest coverage from 15.5% to 30%, and increase the coverage of wild life habitats, increase the coverage of protection against illicit activities in wild life habitats  ",AMR: Antimicrobial resistance prevention and containment strategic plan: The One Health approach (3rd edition 2021-2025); SDGs: Ten years development plan: A pathway to prosperity 2021-2030
P002,amr03,sdg15,AMR-SDG,Ethiopia,Agriculture & Food Systems,Implementation,Align,Indirect,TRUE,"SDG-15's expansion and protection of wildlife habitats limits opportunities for pathogen spillover into human and animal populations, easing the burden on AMR-03's infection prevention and One Health surveillance plans.",Biosecurity standards versus agricultural productivity,Strengthen infection prevention and control practices in public and veterinary health facilities,"The main focus area of the environment and climate change plan is ensuring sustainable development by developing, enriching, maintaining and protecting the country’s natural environment, forests, wild life and other biodiversity resources, and also through ensuring sustainable utilization as well as maintenance of healthy ecosystem interactions. ","Assess prevalence and risk factors of zoonotic diseases
Develop integrated zoonotic disease prevention and control action plan
Integrate zoonotic disease prevention through the One Health approach at region and facility levels ","Implement policies to protect wildlife and biodiversity (increase the number of enriched wild life and biodiversity species, increase national forest coverage from 15.5% to 30%, and increase the coverage of wild life habitats, increase the coverage of protection against illicit activities in wild life habitats  ",AMR: Antimicrobial resistance prevention and containment strategic plan: The One Health approach (3rd edition 2021-2025); SDGs: Ten years development plan: A pathway to prosperity 2021-2030
P003,amr01,amr03,AMR-AMR,Ethiopia,Environment & Climate Action,Objective,Align,Direct,TRUE,"Both policies seek to reduce the discharge of waste from anthropogenic activities by targeting improved disposal practices: Policy 1 through raising awareness of risks from leftover antimicrobials, pesticides and other contaminants, and Policy 2 through enforcing proper community and health-facility waste management.",Waste management compliance versus development targets,"Improve awareness on the risk of leftover antimicrobials, pesticides, insecticides and heavy metal contaminants in the environment","Promote, implement and enforce proper waste management at the community level","Implemented policy framework and guidelines on safe disposal of antimicrobials, pesticides, insecticides and heavy metals at the community level 

Develop and disseminate awareness-raising materials on environmental waste management for farmers, human and animal health facilities, farms and food handlers

Organize sensitization workshops to improve adherence to proper disposal of unfit-for-use antimicrobials from farms, human and animal health facilities and other hazardous wastes","Promote and enforce safe human excreta disposal and functional improved latrines in communities

Promote and enforce hazardous waste management in health facilities",AMR: Antimicrobial resistance prevention and containment strategic plan: The One Health approach (3rd edition 2021-2025)
P004,amr01,amr03,AMR-AMR,Ethiopia,Environment & Climate Action,Implementation,Align,Direct,FALSE,"Policy 1's awareness-raising materials and guidelines facilitate community buy-in and adherence to Policy 2's enforcement measures (safe excreta disposal, improved latrines and hazardous waste management), making Policy 2 easier to implement, while Policy 2's enforcement does not directly enhance the rollout of Policy 1's awareness activities.",Waste management compliance versus development targets,"Improve awareness on the risk of leftover antimicrobials, pesticides, insecticides and heavy metal contaminants in the environment","Promote, implement and enforce proper waste management at the community level","Implemented policy framework and guidelines on safe disposal of antimicrobials, pesticides, insecticides and heavy metals at the community level 

Develop and disseminate awareness-raising materials on environmental waste management for farmers, human and animal health facilities, farms and food handlers

Organize sensitization workshops to improve adherence to proper disposal of unfit-for-use antimicrobials from farms, human and animal health facilities and other hazardous wastes","Promote and enforce safe human excreta disposal and functional improved latrines in communities

Promote and enforce hazardous waste management in health facilities",AMR: Antimicrobial resistance prevention and containment strategic plan: The One Health approach (3rd edition 2021-2025)
P005,amr01,sdg02,AMR-SDG,Ethiopia,Environment & Climate Action,Objective,Conflict,Direct,FALSE,"The driver of AMR affected here is environmental contamination from leftover antimicrobials, pesticides, insecticides, and heavy metals, which can contribute to conditions that support the emergence and spread of resistance. While AMR-01 aims to reduce this driver by improving awareness, safe disposal, and waste-management practices, SDG-02 may intensify the same driver by increasing chemical inputs, particularly pesticide use, to raise crop productivity.",Industrial development versus environmental compliance,"Improve awareness on the risk of leftover antimicrobials, pesticides, insecticides and heavy metal contaminants in the environment",To increase the total annual quantity of crop production in all production systems,"Implemented policy framework and guidelines on safe disposal of antimicrobials, pesticides, insecticides and heavy metals at the community level 

Develop and disseminate awareness-raising materials on environmental waste management for farmers, human and animal health facilities, farms and food handlers

Organize sensitization workshops to improve adherence to proper disposal of unfit-for-use antimicrobials from farms, human and animal health facilities and other hazardous wastes","reduce the demand for chemical fertilizers by promoting the use of natural fertilizers like compost and improving land management methods.

increase the application of pesticides from 15.4 thousand litters to 100  thousand litters against invasive pests and from 4.9 million litters to 5.5  million litters against regular pests;",AMR: Antimicrobial resistance prevention and containment strategic plan: The One Health approach (3rd edition 2021-2025); SDGs: Ten years development plan: A pathway to prosperity 2021-2030
P006,amr01,sdg02,AMR-SDG,Ethiopia,Environment & Climate Action,Implementation,Conflict,Indirect,FALSE,Policy 1 implements safe disposal frameworks and awareness activities to reduce chemical and antimicrobial residues entering the environment.,Industrial development versus environmental compliance,"Improve awareness on the risk of leftover antimicrobials, pesticides, insecticides and heavy metal contaminants in the environment",To increase the total annual quantity of crop production in all production systems,"Implemented policy framework and guidelines on safe disposal of antimicrobials, pesticides, insecticides and heavy metals at the community level 

Develop and disseminate awareness-raising materials on environmental waste management for farmers, human and animal health facilities, farms and food handlers

Organize sensitization workshops to improve adherence to proper disposal of unfit-for-use antimicrobials from farms, human and animal health facilities and other hazardous wastes","reduce the demand for chemical fertilizers by promoting the use of natural fertilizers like compost and improving land management methods.

increase the application of pesticides from 15.4 thousand litters to 100  thousand litters against invasive pests and from 4.9 million litters to 5.5  million litters against regular pests;",AMR: Antimicrobial resistance prevention and containment strategic plan: The One Health approach (3rd edition 2021-2025); SDGs: Ten years development plan: A pathway to prosperity 2021-2030
P007,amr03,sdg02,AMR-SDG,Ethiopia,Environment & Climate Action,Objective,Independent,Direct,FALSE,"Policy AMR-03 seeks to reduce anthropogenic waste through community-level sanitation and hazardous waste management, whereas SDG-02 aims to boost crop production.",Climate adaptation priorities versus AMR surveillance investment,"Promote, implement and enforce proper waste management at the community level",To increase the total annual quantity of crop production in all production systems,"Promote and enforce safe human excreta disposal and functional improved latrines in communities

Promote and enforce hazardous waste management in health facilities","reduce the demand for chemical fertilizers by promoting the use of natural fertilizers like compost and improving land management methods.

increase the application of pesticides from 15.4 thousand litters to 100  thousand litters against invasive pests and from 4.9 million litters to 5.5  million litters against regular pests;",AMR: Antimicrobial resistance prevention and containment strategic plan: The One Health approach (3rd edition 2021-2025); SDGs: Ten years development plan: A pathway to prosperity 2021-2030
P008,amr03,sdg02,AMR-SDG,Ethiopia,Environment & Climate Action,Implementation,Independent,Indirect,FALSE,"AMR-03's instruments center on sanitation infrastructure (latrines, human excreta disposal) and hazardous waste in health facilities, whereas SDG-02's implementation promotes compost use and higher pesticide applications in agriculture.",Climate adaptation priorities versus AMR surveillance investment,"Promote, implement and enforce proper waste management at the community level",To increase the total annual quantity of crop production in all production systems,"Promote and enforce safe human excreta disposal and functional improved latrines in communities

Promote and enforce hazardous waste management in health facilities","reduce the demand for chemical fertilizers by promoting the use of natural fertilizers like compost and improving land management methods.

increase the application of pesticides from 15.4 thousand litters to 100  thousand litters against invasive pests and from 4.9 million litters to 5.5  million litters against regular pests;",AMR: Antimicrobial resistance prevention and containment strategic plan: The One Health approach (3rd edition 2021-2025); SDGs: Ten years development plan: A pathway to prosperity 2021-2030
P009,amr01,amr04,AMR-AMR,Ethiopia,Environment & Climate Action,Objective,Align,Direct,TRUE,Both policies target the reduction of harmful environmental discharge of antimicrobials and related contaminants.,Waste management compliance versus development targets,"Improve awareness on the risk of leftover antimicrobials, pesticides, insecticides and heavy metal contaminants in the environment","Strengthen the regulatory system in the human, animal, food and feed production and the environment sectors","Advocate for the implementation of the policy on safe disposal of antimicrobials, pesticides, insecticides, and heavy metals at the community level.

Develop and disseminate awareness-raising materials on environmental waste management for farmers, human and animal health facilities, farms, and food handlers.

Improve adherence to proper disposal of unfit-for-use antimicrobials from farms, human and animal health facilities, and other hazardous wastes through sensitization workshops.","Ensure proper disposal of unfit-for-use antimicrobials and 
laboratory supplies 
Establish standards for waste discharge and treatment from 
manufacturing and food processing plants and human and animal health care settings 
",AMR: Antimicrobial resistance prevention and containment strategic plan: The One Health approach (3rd edition 2021-2025)
P010,amr01,amr04,AMR-AMR,Ethiopia,Environment & Climate Action,Implementation,Align,Direct,TRUE,"Policy 1's advocacy, educational materials, and workshops raise stakeholder awareness and drive demand for clear rules, making it easier to implement Policy 2's disposal requirements and discharge standards.",Waste management compliance versus development targets,"Improve awareness on the risk of leftover antimicrobials, pesticides, insecticides and heavy metal contaminants in the environment","Strengthen the regulatory system in the human, animal, food and feed production and the environment sectors","Advocate for the implementation of the policy on safe disposal of antimicrobials, pesticides, insecticides, and heavy metals at the community level.

Develop and disseminate awareness-raising materials on environmental waste management for farmers, human and animal health facilities, farms, and food handlers.

Improve adherence to proper disposal of unfit-for-use antimicrobials from farms, human and animal health facilities, and other hazardous wastes through sensitization workshops.","Ensure proper disposal of unfit-for-use antimicrobials and 
laboratory supplies 
Establish standards for waste discharge and treatment from 
manufacturing and food processing plants and human and animal health care settings 
",AMR: Antimicrobial resistance prevention and containment strategic plan: The One Health approach (3rd edition 2021-2025)
