edge_id,from,to,interaction_family,theme,effect,direct_or_indirect,bidirectional,context_dependent,mechanism,policy_tension,evidence_level,reference
E001,sdg2,amr_use_livestock,AMR-SDG,Agriculture & Food Systems,Increase AMR risk,Indirect,FALSE,TRUE,Food demand can increase prophylactic antibiotic use in intensive livestock systems,Productivity targets versus stewardship limits,Medium,BRIDGE concept note 2026
E002,sdg8,amr_use_livestock,AMR-SDG,Agriculture & Food Systems,Increase AMR risk,Indirect,FALSE,TRUE,Growth incentives may reward production models that rely on routine antibiotic inputs,Economic growth versus antibiotic controls,Medium,Workshop synthesis draft
E003,amr_vet_capacity,amr_use_livestock,AMR-AMR,Agriculture & Food Systems,Reduce AMR risk,Direct,FALSE,FALSE,Strengthened veterinary services can support targeted prescribing in animal systems,Service investment versus near term production cost,High,WOAH policy guidance
E004,amr_food_safety,amr_use_livestock,AMR-AMR,Agriculture & Food Systems,Reduce AMR risk,Indirect,FALSE,TRUE,Value chain controls can reduce infection pressure and treatment demand,Compliance cost versus market access,Medium,FAO AMR framework
E005,amr_stewardship,amr_use_livestock,AMR-AMR,Agriculture & Food Systems,Reduce AMR risk,Direct,FALSE,FALSE,Stewardship standards can phase out preventive antibiotic use,Enforcement burden versus rapid adoption,High,WHO One Health brief
E006,amr_use_livestock,amr_env_reservoir,AMR-AMR,Agriculture & Food Systems,Increase AMR risk,Direct,FALSE,FALSE,Manure and farm runoff can spread resistant bacteria and residues,Scale expansion versus environmental protection,High,UNEP AMR report
E007,amr_use_aquaculture,amr_env_reservoir,AMR-AMR,Agriculture & Food Systems,Increase AMR risk,Direct,FALSE,FALSE,Antibiotic use in aquaculture can contribute residues and resistant organisms in water,Export pressure versus prudent use,Medium,FAO fisheries AMR note
E008,sdg2,amr_use_aquaculture,AMR-SDG,Agriculture & Food Systems,Increase AMR risk,Indirect,FALSE,TRUE,Food security strategies can intensify aquaculture and raise treatment pressure,Production targets versus stewardship safeguards,Medium,Workshop synthesis draft
E009,sdg12,amr_food_safety,AMR-SDG,Agriculture & Food Systems,Reduce AMR risk,Indirect,FALSE,FALSE,Responsible production standards can improve value chain safety governance,Audit cost versus long term resilience,Medium,UN SDG policy brief
E010,sdg2,sdg12,SDG-SDG,Agriculture & Food Systems,Mixed / context-dependent,Indirect,TRUE,TRUE,Food security goals can conflict with or reinforce responsible production pathways,Scale up pressure versus sustainability commitments,Medium,BRIDGE concept note 2026
E011,amr_use_livestock,outcome_amr_burden,AMR-to-AMR Outcome,Agriculture & Food Systems,Increase AMR risk,Indirect,FALSE,TRUE,High livestock antibiotic exposure can contribute to downstream resistance burden,Short term production gain versus long term resistance costs,Medium,WHO and FAO synthesis
E012,amr_use_aquaculture,outcome_amr_burden,AMR-to-AMR Outcome,Agriculture & Food Systems,Increase AMR risk,Indirect,FALSE,TRUE,Aquaculture related resistance pathways can increase AMR burden through food and environment,Export competitiveness versus stewardship standards,Emerging,Workshop synthesis draft
E013,amr_food_safety,outcome_amr_burden,AMR-to-AMR Outcome,Agriculture & Food Systems,Reduce AMR risk,Indirect,FALSE,TRUE,Stronger food safety systems can reduce resistant pathogen exposure,Inspection investment versus private sector cost,Medium,FAO AMR framework
E014,sdg2,outcome_productivity_loss,SDG-to-AMR Outcome,Agriculture & Food Systems,Reduce AMR risk,Indirect,FALSE,TRUE,Better nutrition and food security can reduce vulnerability to income losses from AMR,Short term subsidies versus long term productivity resilience,Emerging,Concept note scenario mapping
E015,sdg2,outcome_amr_burden,SDG-to-AMR Outcome,Agriculture & Food Systems,Mixed / context-dependent,Indirect,FALSE,TRUE,Food system intensification may lower hunger while increasing resistance pressure if safeguards are weak,Expansion targets versus antimicrobial stewardship,Medium,BRIDGE concept note 2026
E016,sdg6,amr_wash_systems,AMR-SDG,Environment & Climate Action,Reduce AMR risk,Direct,FALSE,FALSE,Water and sanitation investment strengthens wastewater controls and hygiene,Infrastructure cost versus delayed health benefit,High,WHO WASH and AMR brief
E017,amr_wash_systems,amr_env_reservoir,AMR-AMR,Environment & Climate Action,Reduce AMR risk,Direct,FALSE,FALSE,Treatment and sanitation can reduce environmental release of resistant organisms,Upfront capital versus prevention benefit,High,UNICEF WASH evidence
