"country","amr_driver","policy_agenda_1","policy_agenda_2","policy_strategic_objective_1","policy_strategic_objective_2","policy_specific_actions_1","policy_specific_actions_2","evaluation_round","objective_interaction","objective_interpretation","implementation_interaction","implementation_interpretation"
"Ethiopia","close human-animal interface & wildlife-associated transmission","AMR-03","SDG-15","Strengthen infection prevention and control practices in public and veterinary health facilities","The main focus area of the environment and climate change plan is ensuring sustainable development by developing, enriching, maintaining and protecting the country’s natural environment, forests, wild life and other biodiversity resources, and also through ensuring sustainable utilization as well as maintenance of healthy ecosystem interactions. ","Assess prevalence and risk factors of zoonotic diseases
Develop integrated zoonotic disease prevention and control action plan
Integrate zoonotic disease prevention through the One Health approach at region and facility levels ","Implement policies to protect wildlife and biodiversity (increase the number of enriched wild life and biodiversity species, increase national forest coverage from 15.5% to 30%, and increase the coverage of wild life habitats, increase the coverage of protection against illicit activities in wild life habitats  ","consolidated","Align","Both policies work to reduce zoonotic spillover by addressing the human-animal interface and wildlife transmission pathways. AMR-03 strengthens infection prevention and One Health measures in health and veterinary facilities to limit zoonotic disease spread, while SDG-15 protects and maintains healthy wildlife ecosystems, thereby reducing risky human-wildlife contacts. Together they push the shared driver - close human-animal interface and wildlife-associated transmission - in the same direction.","Mutual benefit","SDG-15's expansion and protection of wildlife habitats limits opportunities for pathogen spillover into human and animal populations, easing the burden on AMR-03's infection prevention and One Health surveillance plans. Conversely, AMR-03's zoonotic disease assessments and integrated control plans generate data and risk maps that can guide targeted conservation and habitat protection under SDG-15, creating a reinforcing feedback loop."
"Ethiopia","discharge of waste from anthropogenic activities","AMR-01","AMR-03","Improve awareness on the risk of leftover antimicrobials, pesticides, insecticides and heavy metal contaminants in the environment","Promote, implement and enforce proper waste management at the community level","Implemented policy framework and guidelines on safe disposal of antimicrobials, pesticides, insecticides and heavy metals at the community level 

Develop and disseminate awareness-raising materials on environmental waste management for farmers, human and animal health facilities, farms and food handlers

Organize sensitization workshops to improve adherence to proper disposal of unfit-for-use antimicrobials from farms, human and animal health facilities and other hazardous wastes","Promote and enforce safe human excreta disposal and functional improved latrines in communities

Promote and enforce hazardous waste management in health facilities","consolidated","Align","Both policies seek to reduce the discharge of waste from anthropogenic activities by targeting improved disposal practices: Policy 1 through raising awareness of risks from leftover antimicrobials, pesticides and other contaminants, and Policy 2 through enforcing proper community and health-facility waste management. They push the shared driver in the same direction, producing cumulative benefits.","One-sided benefit","Policy 1's awareness-raising materials and guidelines facilitate community buy-in and adherence to Policy 2's enforcement measures (safe excreta disposal, improved latrines and hazardous waste management), making Policy 2 easier to implement, while Policy 2's enforcement does not directly enhance the rollout of Policy 1's awareness activities."
"Ethiopia","discharge of waste from anthropogenic activities","AMR-01","SDG-02","Improve awareness on the risk of leftover antimicrobials, pesticides, insecticides and heavy metal contaminants in the environment","To increase the total annual quantity of crop production in all production systems","Implemented policy framework and guidelines on safe disposal of antimicrobials, pesticides, insecticides and heavy metals at the community level 

Develop and disseminate awareness-raising materials on environmental waste management for farmers, human and animal health facilities, farms and food handlers

Organize sensitization workshops to improve adherence to proper disposal of unfit-for-use antimicrobials from farms, human and animal health facilities and other hazardous wastes","reduce the demand for chemical fertilizers by promoting the use of natural fertilizers like compost and improving land management methods.

increase the application of pesticides from 15.4 thousand litters to 100  thousand litters against invasive pests and from 4.9 million litters to 5.5  million litters against regular pests;","consolidated","Conflict","Policy 1's objective centers on reducing environmental contamination by improving awareness and disposal of antimicrobials, pesticides, insecticides and heavy metals, whereas Policy 2's objective is to increase crop production. Although both touch on the same broad sector (agricultural practices) and may influence the discharge of waste, their stated objectives pursue different primary outcomes and do not inherently push the shared driver in the same or directly opposing direction.","One-sided conflict","Policy 1 implements safe disposal frameworks and awareness activities to reduce chemical and antimicrobial residues entering the environment. Policy 2's implementation, by substantially increasing pesticide application rates, will generate more pesticide-laden waste and environmental residues, thereby undermining or complicating the disposal and contamination-reduction efforts of Policy 1. Policy 1 does not, however, impede Policy 2's production-focused measures."
"Ethiopia","discharge of waste from anthropogenic activities","AMR-03","SDG-02","Promote, implement and enforce proper waste management at the community level","To increase the total annual quantity of crop production in all production systems","Promote and enforce safe human excreta disposal and functional improved latrines in communities

Promote and enforce hazardous waste management in health facilities","reduce the demand for chemical fertilizers by promoting the use of natural fertilizers like compost and improving land management methods.

increase the application of pesticides from 15.4 thousand litters to 100  thousand litters against invasive pests and from 4.9 million litters to 5.5  million litters against regular pests;","consolidated","Independent","Policy AMR-03 seeks to reduce anthropogenic waste through community-level sanitation and hazardous waste management, whereas SDG-02 aims to boost crop production. SDG-02's measures include reduced synthetic fertilizer use (which could decrease nutrient runoff) but also increased pesticide application (which may increase chemical residues). The core objectives--waste reduction versus production increase--do not push the shared driver of waste discharge clearly in the same or opposite direction, and there is insufficient overlap in their stated goals to conclude alignment or conflict.","Independent","AMR-03's instruments center on sanitation infrastructure (latrines, human excreta disposal) and hazardous waste in health facilities, whereas SDG-02's implementation promotes compost use and higher pesticide applications in agriculture. There is no operational overlap or mutual influence between enforcing community/health-facility waste rules and agricultural fertilizer or pesticide practices, so neither policy's rollout facilitates or impedes the other."
"Ethiopia","discharge of waste from anthropogenic activities","AMR-01","AMR-04","Improve awareness on the risk of leftover antimicrobials, pesticides, insecticides and heavy metal contaminants in the environment","Strengthen the regulatory system in the human, animal, food and feed production and the environment sectors","Advocate for the implementation of the policy on safe disposal of antimicrobials, pesticides, insecticides, and heavy metals at the community level.

Develop and disseminate awareness-raising materials on environmental waste management for farmers, human and animal health facilities, farms, and food handlers.

Improve adherence to proper disposal of unfit-for-use antimicrobials from farms, human and animal health facilities, and other hazardous wastes through sensitization workshops.","Ensure proper disposal of unfit-for-use antimicrobials and 
laboratory supplies 
Establish standards for waste discharge and treatment from 
manufacturing and food processing plants and human and animal health care settings 
","consolidated","Align","Both policies target the reduction of harmful environmental discharge of antimicrobials and related contaminants. Policy 1 seeks to reduce release at the community and facility level through awareness and safe-disposal practices, while Policy 2 strengthens the regulatory framework to mandate proper disposal and treatment across human, animal, food, feed and manufacturing sectors. Together they push the shared driver (anthropogenic waste discharge) in the same direction.","Mutual benefit","Policy 1's advocacy, educational materials, and workshops raise stakeholder awareness and drive demand for clear rules, making it easier to implement Policy 2's disposal requirements and discharge standards. Conversely, Policy 2's formal standards and regulatory framework give substance and authority to the awareness campaigns of Policy 1, reinforcing community buy-in and compliance."
"Ethiopia","discharge of waste from anthropogenic activities","AMR-03","AMR-04","Promote, implement and enforce proper waste management at the community level","Strengthen the regulatory system in the human, animal, food and feed production and the environment sectors","Promote and enforce safe human excreta disposal and functional improved latrines in communities

Promote and enforce hazardous waste management in health facilities","Ensure proper disposal of unfit-for-use antimicrobials and 
laboratory supplies 
Establish standards for waste discharge and treatment from 
manufacturing and food processing plants and human and animal health care settings 
","consolidated","Align","Both policies target reduction of waste discharge from anthropogenic activities by strengthening waste management practices. Policy 1 focuses on community and health-facility waste management, while Policy 2 provides overarching regulatory frameworks for proper disposal and discharge standards across human, animal, food, feed, manufacturing and health-care sectors. Together they push the driver in the same direction, cumulatively reducing environmental contamination.","Mutual benefit","AMR-04's development of clear standards and regulatory frameworks for waste discharge and treatment provides the technical and legal basis that communities and facilities under AMR-03 can follow, simplifying enforcement. Conversely, the on-the-ground roll-out of improved latrines, excreta disposal and hazardous waste protocols in AMR-03 generates compliance data, local buy-in, and demonstration sites that facilitate regulators in refining, monitoring, and enforcing the standards of AMR-04, creating a reinforcing feedback loop."
"Ethiopia","discharge of waste from anthropogenic activities","AMR-01","SDG-06","Improve awareness on the risk of leftover antimicrobials, pesticides, insecticides and heavy metal contaminants in the environment","The main focus areas of the subsector are improving access to potable water supply and sanitation services; expanding climate resilient potable water supply systems; ensuring the sustainability of existing potable water supply facilities; harnessing renewable energy as an alternative source of energy for organizations engaged in supplying potable water in rural areas; strengthening urban sewerage disposal systems by building the necessary infrastructure facilities;","Advocate for the implementation of the policy on safe disposal of antimicrobials, pesticides, insecticides, and heavy metals at the community level.

Develop and disseminate awareness-raising materials on environmental waste management for farmers, human and animal health facilities, farms, and food handlers.

Improve adherence to proper disposal of unfit-for-use antimicrobials from farms, human and animal health facilities, and other hazardous wastes through sensitization workshops.","strengthening urban sewerage disposal systems by building the necessary infrastructure facilities; 
'To build integrated basic sewerage systems for 100 cities and ensure all rural villages to have access to toilets;","consolidated","Align","Both policies target reducing the discharge of anthropogenic waste into the environment. Policy AMR-01 focuses on safe disposal of antimicrobials, pesticides, insecticides, and heavy metals through awareness-raising, while SDG-06 strengthens water and sanitation infrastructure (urban sewerage systems and rural toilets) to prevent waste release. Together, they push the driver in the same direction toward lower environmental contamination.","Independent","Policy 1 is implemented through community-level advocacy, educational materials, and sensitization workshops on hazardous waste disposal, whereas Policy 2 is implemented by constructing and upgrading sewerage and sanitation facilities. These implementation streams operate in parallel without directly facilitating or impeding each other."
"Ethiopia","discharge of waste from anthropogenic activities","AMR-03","SDG-06","Promote, implement and enforce proper waste management at the community level","The main focus areas of the subsector are improving access to potable water supply and sanitation services; expanding climate resilient potable water supply systems; ensuring the sustainability of existing potable water supply facilities; harnessing renewable energy as an alternative source of energy for organizations engaged in supplying potable water in rural areas; strengthening urban sewerage disposal systems by building the necessary infrastructure facilities;","Promote and enforce safe human excreta disposal and functional improved latrines in communities

Promote and enforce hazardous waste management in health facilities","strengthening urban sewerage disposal systems by building the necessary infrastructure facilities; 
'To build integrated basic sewerage systems for 100 cities and ensure all rural villages to have access to toilets;","consolidated","Align","Both policies aim to reduce environmental contamination from human wastes by improving sanitation and waste management at community and urban levels. Policy 1 focuses on enforcing proper disposal of excreta and hazardous wastes, while Policy 2 invests in water-supply and sewerage infrastructure that prevents open discharge and runoff. Together they push the shared driver (discharge of anthropogenic waste) in the same direction, yielding cumulative benefits.","Mutual benefit","Policy 2's investment in urban sewerage systems, integrated sewer networks for cities, and expanded toilet access in rural areas provides the physical infrastructure that makes Policy 1's enforcement of safe excreta disposal and latrine use feasible. Conversely, Policy 1's promotion, community engagement, and enforcement efforts bolster uptake, proper use, and maintenance of the sanitation infrastructure built under Policy 2, creating a reinforcing feedback loop."
"Ethiopia","inappropriate prescribing by doctor","AMR-01","AMR-04","Develop and implement regular and need based pre–graduation and in-service training and continuous professional development programmes","Ensure optimal prescribing, dispensing and use of antimicrobials in the human health sector","Conduct training on responsible prescribing, dispensing, use, and administration practices for human and animal health care professionals including for health and agriculture extension workers 

Facilitate and provide a pre-graduation training on anti-microbial use, resistance and stewardship and infection prevention and control for human and animal health professionals 

Incorporate antimicrobial use, resistance and stewardship 
and infection prevention and control modules and trainings

Incorporate antimicrobial resistance in course contents 
of TVET, undergraduate and postgraduate curriculum of 
human, animal and environment professionals","Integrate antimicrobial stewardship into the Hospitals Services Transformation Guideline and the Ethiopian Health Center Reform Implementation Guideline 
Ensure implementation of antimicrobial stewardship in health care facilities
Ensure the availability and monitor compliance with updated and evidence-based guidelines, policies, manuals and formularies for prescribing and dispensing practices 
","consolidated","Align","Both policies aim to reduce inappropriate antimicrobial prescribing by strengthening the competence and behaviors of prescribers: Policy 1 does so by embedding antimicrobial use, resistance and stewardship in pre-service and in-service training, while Policy 2 ensures optimal prescribing through institutionalizing stewardship frameworks and evidence-based guidelines. Together they push the same driver in the same (beneficial) direction.","Mutual benefit","The trainings and curriculum modules under AMR-01 equip health professionals with the competencies needed to adhere to stewardship guidelines introduced by AMR-04. Conversely, integrating stewardship into national hospital and health center guidelines under AMR-04 provides standardized content and institutional backing that strengthens and streamlines the training programs of AMR-01. This reciprocal reinforcement makes implementation of each policy easier."
"Ethiopia","individual socio-demographic factors","SDG-01","SDG-02","The principal objectives of the urban development plan are to ...; to create job opportunities; to make residential areas conducive for living by designing an efficient system of land and housing provision; to develop integrated and standard infrastructure and services; to improve greening and sanitation services so that cities/towns are liveable and resilient to economic, social, environmental and ecological shocks

Particular  attention will be given to strengthening the overall system of social welfare and   social protection in favour of women, children, the youth, the elderly, persons with   disabilities and other vulnerable citizens

The principal objectives of the social justice and social security development plan are to develop the overall capacity of women, children, the youth, the elderly,   people with disabilities and all vulnerable citizens and groups, and facilitate their   all-rounded participation in the country's economic, social, and cultural affairs in   an organized and coordinated institutional manner, and also to ensure that they   get their fair share from the development endeavours.","The main objectives of the agricultural development plan are to raise the incomes and livelihoods of farmers and pastoralists and end poverty by making agriculture more productive and competitive","- Incorprate poverty alleviation into urban development plan, Prioritize government budget allocation for poverty reduction activity
1. Employment Support: Increase job placements from 1.96 million to 20 million.
2. Safety Net Programs: Expand coverage for vulnerable groups, including persons with disabilities, the elderly, and street dwellers, from 1.3 million to 1.53 million.
8. Social Safety Net and Services: Enable 689,000 people, including vulnerable groups, to benefit from social safety nets and basic services, with a focus on women, children, youth, the elderly, and persons with disabilities.
3. Social Security for Street Dwellers: Provide basic social security services to 219,000 street dwellers.
6. Pension Scheme Revenue: Raise revenue from pension schemes from birr 43.9 billion to birr 231 billion.
7. Investment of Pension Funds: Invest pension funds in profitable businesses to increase dividends from birr 1.4 billion to birr 39 billion.
4. Rehabilitation for the Elderly: Offer social rehabilitation services to 289,148 elderly individuals living below the poverty line.
5. Insurance Scheme Subscriptions: Increase subscriptions for employees in private organizations from 1.7 million to 3.1 million.
Engage 3.62 million urban dwellers living below the poverty line in community works to improve urban areas
improve the incomes and livelihoods of farmers and pastoralists to eradicate poverty.","Increase agriculture production and income for farmer","consolidated","Align","Both policies seek to reduce poverty and improve livelihoods among vulnerable groups, thereby addressing individual socio-demographic risk factors for AMR. SDG-01 advances social protection, job creation, and basic services for women, children, the elderly, persons with disabilities and other vulnerable citizens (including farmers), while SDG-02 boosts agricultural productivity and incomes to lift farmers and pastoralists out of poverty. Together they push the shared driver (socio-demographic disadvantage) in the same direction.","Mutual benefit","SDG-01's expanded safety nets, employment support, community works and targeted social services strengthen the capacity and resilience of rural households, facilitating farmers' ability to adopt productivity-enhancing measures under SDG-02. In turn, higher agricultural incomes and competitiveness achieved through SDG-02 reduce dependency on social welfare, easing the implementation burden of SDG-01's poverty alleviation programs and creating positive reinforcement between both."
